input->0110010111010100: district: 0, candidate: 1, tally: 93, tag: 0110
input->0101010111100100: district: 0, candidate: 1, tally: 94, tag: 0101
input->0100010111110100: district: 0, candidate: 1, tally: 95, tag: 0100
input->1000011000000100: district: 0, candidate: 1, tally: 96, tag: 1000
input->1001011000010100: district: 0, candidate: 1, tally: 97, tag: 1001
input->1010011000100100: district: 0, candidate: 1, tally: 98, tag: 1010
input->1011011000110100: district: 0, candidate: 1, tally: 99, tag: 1011
input->1100011001000100: district: 0, candidate: 1, tally: 100, tag: 1100
input->1101011001010100: district: 0, candidate: 1, tally: 101, tag: 1101
input->1110011001100100: district: 0, candidate: 1, tally: 102, tag: 1110
input->1111011001110100: district: 0, candidate: 1, tally: 103, tag: 1111
input->0000011010000100: district: 0, candidate: 1, tally: 104, tag: 0000
input->0001011010010100: district: 0, candidate: 1, tally: 105, tag: 0001
input->0010011010100100: district: 0, candidate: 1, tally: 106, tag: 0010
input->0011011010110100: district: 0, candidate: 1, tally: 107, tag: 0011
input->0100011011000100: district: 0, candidate: 1, tally: 108, tag: 0100
input->0101011011010100: district: 0, candidate: 1, tally: 109, tag: 0101
input->0110011011100100: district: 0, candidate: 1, tally: 110, tag: 0110
input->0111011011110100: district: 0, candidate: 1, tally: 111, tag: 0111
input->1001011100000100: district: 0, candidate: 1, tally: 112, tag: 1001
input->1000011100010100: district: 0, candidate: 1, tally: 113, tag: 1000
input->1011011100100100: district: 0, candidate: 1, tally: 114, tag: 1011
input->1010011100110100: district: 0, candidate: 1, tally: 115, tag: 1010
input->1101011101000100: district: 0, candidate: 1, tally: 116, tag: 1101
input->1100011101010100: district: 0, candidate: 1, tally: 117, tag: 1100
input->1111011101100100: district: 0, candidate: 1, tally: 118, tag: 1111
input->1110011101110100: district: 0, candidate: 1, tally: 119, tag: 1110
input->0001011110000100: district: 0, candidate: 1, tally: 120, tag: 0001
input->0000011110010100: district: 0, candidate: 1, tally: 121, tag: 0000
input->0011011110100100: district: 0, candidate: 1, tally: 122, tag: 0011
input->0010011110110100: district: 0, candidate: 1, tally: 123, tag: 0010
input->0101011111000100: district: 0, candidate: 1, tally: 124, tag: 0101
